Date,Price,Open,High,Low,Vol.,Change %
2017-10-31 00:00:00,257.15,257.18,257.44,256.81,60.30M,0.16%
2017-10-30 00:00:00,256.75,257.07,257.6,256.41,54.29M,-0.37%
2017-10-27 00:00:00,257.71,256.47,257.89,255.63,85.56M,0.82%
2017-10-26 00:00:00,255.62,255.99,256.3,255.48,69.80M,0.13%
2017-10-25 00:00:00,255.29,256.18,256.31,254.0,103.72M,-0.50%
2017-10-24 00:00:00,256.56,256.6,256.83,256.15,66.94M,0.18%
2017-10-23 00:00:00,256.11,257.48,257.51,256.02,63.92M,-0.39%
2017-10-20 00:00:00,257.11,256.7,257.14,255.77,89.18M,0.52%
2017-10-19 00:00:00,255.79,254.83,255.83,254.35,61.90M,0.03%
2017-10-18 00:00:00,255.72,255.9,255.95,255.5,40.89M,0.10%
2017-10-17 00:00:00,255.47,255.23,255.52,254.98,31.56M,0.07%
2017-10-16 00:00:00,255.29,255.21,255.51,254.82,38.22M,0.13%
2017-10-13 00:00:00,254.95,255.14,255.27,254.64,54.80M,0.12%
2017-10-12 00:00:00,254.64,254.66,255.06,254.37,47.07M,-0.15%
2017-10-11 00:00:00,255.02,254.51,255.02,254.32,47.67M,0.16%
2017-10-10 00:00:00,254.62,254.6,255.05,253.98,43.06M,0.26%
2017-10-09 00:00:00,253.95,254.63,254.7,253.65,35.80M,-0.17%
2017-10-06 00:00:00,254.37,254.15,254.7,253.85,80.65M,-0.11%
2017-10-05 00:00:00,254.66,253.54,254.68,253.2,63.52M,0.59%
2017-10-04 00:00:00,253.16,252.69,253.44,252.56,55.95M,0.12%
2017-10-03 00:00:00,252.86,252.46,252.89,252.23,66.81M,0.21%
2017-10-02 00:00:00,252.32,251.49,252.32,251.29,59.02M,0.43%
2017-09-29 00:00:00,251.23,250.34,251.32,250.13,85.58M,0.35%
2017-09-28 00:00:00,250.35,249.73,250.44,249.63,44.78M,0.12%
2017-09-27 00:00:00,250.05,249.88,250.49,248.87,81.00M,0.39%
2017-09-26 00:00:00,249.08,249.42,249.7,248.81,54.08M,0.06%
2017-09-25 00:00:00,248.93,249.15,249.55,248.08,57.06M,-0.20%
2017-09-22 00:00:00,249.44,249.05,249.63,249.02,51.21M,0.02%
2017-09-21 00:00:00,249.39,249.88,249.98,249.19,48.21M,-0.27%
2017-09-20 00:00:00,250.06,250.07,250.19,248.92,59.57M,0.04%
2017-09-19 00:00:00,249.97,250.0,250.07,249.6,47.11M,0.10%
2017-09-18 00:00:00,249.72,249.61,250.12,249.28,46.24M,0.21%
2017-09-15 00:00:00,249.19,248.69,249.29,248.57,95.43M,-0.36%
2017-09-14 00:00:00,250.09,249.8,250.32,249.6,95.45M,-0.03%
2017-09-13 00:00:00,250.17,249.72,250.21,249.59,59.23M,0.05%
2017-09-12 00:00:00,250.05,249.63,250.09,249.42,56.90M,0.34%
2017-09-11 00:00:00,249.21,248.04,249.3,248.02,71.36M,1.07%
2017-09-08 00:00:00,246.58,246.54,247.11,246.3,63.83M,-0.12%
2017-09-07 00:00:00,246.87,247.25,247.27,246.4,58.03M,-0.01%
2017-09-06 00:00:00,246.9,246.84,247.28,246.23,57.92M,0.34%
2017-09-05 00:00:00,246.06,247.26,247.52,244.95,91.40M,-0.72%
2017-09-01 00:00:00,247.84,247.92,248.33,247.67,62.01M,0.14%
2017-08-31 00:00:00,247.49,246.72,247.77,246.05,103.80M,0.60%
2017-08-30 00:00:00,246.01,244.83,246.32,244.62,62.03M,0.47%
2017-08-29 00:00:00,244.85,243.06,245.15,242.93,51.14M,0.11%
2017-08-28 00:00:00,244.57,245.17,245.2,244.09,40.57M,0.00%
2017-08-25 00:00:00,244.56,244.9,245.61,244.39,64.45M,0.23%
2017-08-24 00:00:00,243.99,245.0,245.18,243.75,50.74M,-0.23%
2017-08-23 00:00:00,244.56,244.33,245.05,244.16,50.20M,-0.36%
2017-08-22 00:00:00,245.44,243.57,245.62,243.55,63.14M,1.05%
2017-08-21 00:00:00,242.9,242.64,243.2,241.83,65.47M,0.08%
2017-08-18 00:00:00,242.71,242.9,244.19,242.2,136.75M,-0.16%
2017-08-17 00:00:00,243.09,246.24,246.6,243.09,128.49M,-1.56%
2017-08-16 00:00:00,246.94,247.11,247.57,246.45,56.72M,0.17%
2017-08-15 00:00:00,246.51,246.98,247.0,246.16,55.24M,-0.01%
2017-08-14 00:00:00,246.54,245.59,246.79,245.55,73.29M,0.99%
2017-08-11 00:00:00,244.12,244.02,244.8,243.75,74.87M,0.15%
2017-08-10 00:00:00,243.76,246.29,246.44,243.7,120.48M,-1.41%
